model,report,D_mm,T_mm,d_mm,t_mm,d_D,D_T,load_type,load_on,load_category,location,microstrain_1,microstrain_2,microstrain_3,stress_trans,stress_long,stress_shear,sigma1_psi,sigma2_psi,sigma1_MPa,sigma2_MPa,SI_MPa
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,I3CCN-J,26,-75,44,-718,569,-1583,1634,-1783,11.266,-12.294,23.56
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,C30CN-A,106,172,42,4593,4571,1728,6311,28,43.514,0.193,43.321
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,C30CN-C,17,110,-54,1203,874,2184,3,229,0.021,1.579,1.558
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,C30CN-G,48,55,-68,-345,1336,1633,2333,-1342,16.086,-9.253,25.339
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,C300N-H,45,57,-65,-237,1269,1621,2303,-1271,15.879,-8.764,24.643
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,C30CN-J,36,60,-59,-19,1078,1533,2205,-1146,15.203,-7.902,23.105
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,I330C-A,-56,58,38,2181,-1014,272,2204,-1037,15.197,-7.15,22.347
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,I330C-B,-14,44,28,1603,53,215,1632,24,11.253,0.165,11.088
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,I330C-C,14,37,17,1175,780,266,1309,646,9.026,4.454,4.572
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,I33CC-0*,29,28,11,836,1106,222,1230,711,8.481,4.902,3.579
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,I330C-E,33,19,6,497,1133,171,1176,454,8.109,3.13,4.979
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,I330C-F,23,-8,2,-151,653,-127,673,-170,4.64,-1.172,5.812
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,I33CC-G,6,-16,7,-215,107,-304,290,-398,2.0,-2.744,4.744
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,I330C-H,0,-16,12,-95,-14,-374,321,-43,2.213,-0.296,2.509
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,I33CC-J,-7,-11,18,154,-168,-380,406,-419,2.799,-2.889,5.688
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,I33CC-L,-14,-6,6,26,-420,-158,77,-470,0.531,-3.241,3.772
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,3CC-A,20,121,36,3424,1640,1127,3969,1095,27.366,7.55,19.816
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,0330C-C,-16,46,13,1323,-88,437,1448,-212,9.984,-1.462,11.446
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,C330C-D,-20,36,5,931,-320,412,1054,-443,7.267,-3.054,10.321
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,G330C-E,-19,20,-2,418,-445,291,507,-534,3.496,-3.682,7.178
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,0330C-G,-1,-15,-9,-521,-199,-89,-176,-543,-1.214,-3.744,2.53
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,0330C-H,0,-17,-11,-606,-168,-76,-155,-619,-1.069,-4.268,3.199
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,C330C-J,-10,-17,-12,-637,-476,-63,-454,-659,-3.13,-4.544,1.414
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,C330C-K,2,-6,-8,-316,-24,25,-21,-318,-0.145,-2.193,2.048
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,I330N-A,-56,-49,109,1387,-1252,-2108,2555,-2419,17.617,-16.679,34.296
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,I330N-B,10,-38,106,1493,733,-1912,3063,-836,21.119,-5.764,26.883
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,I33CN-C,45,-37,91,1142,1683,-1709,3143,-319,21.671,-2.2,23.871
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,I330N-0,50,-43,77,676,1714,-1595,2873,-483,19.809,-3.33,23.139
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,I330N-E,42,-48,67,351,1360,-1532,2468,-758,17.017,-5.226,22.243
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,I330N-F*,36,-57,31,-593,891,-1171,1536,-123,10.591,-0.848,11.439
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,I330N-G,23,-59,54,-141,656,-1501,1810,-1295,12.48,-8.929,21.409
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,I330N-H,29,-65,46,-460,732,-1475,1727,-1455,11.908,-10.032,21.94
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,I330N-J,16,-64,44,-456,348,-1431,1432,-1541,9.874,-10.625,20.499
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,C330N-A*,0,111,12,2695,808,1317,3371,132,23.243,0.91,22.333
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,033CN-B,22,96,-27,1501,1106,1646,2961,-355,20.416,-2.448,22.864
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,0330N-C,6,74,-55,411,309,1709,2070,-1350,14.273,-9.308,23.581
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,S,60,-67,-165,179,1703,1719,-1705,330,-11.756,2.275,14.031
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,N-E,8,54,-76,-489,96,1735,1562,-1956,10.77,-13.487,24.257
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,0330N-F,23,61,-77,-370,573,1830,1991,-1788,13.728,-12.328,26.056
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,ON-G,32,58,-73,-359,862,1754,2108,-1606,14.535,-11.073,25.608
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,033CN-H,38,50,-75,-574,954,1665,2022,-1642,13.942,-11.322,25.264
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_torsion_nozzle,nozzle,moment,0330N-J,26,64,-72,-196,725,1811,2133,-1604,14.707,-11.06,25.767
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-O-C-A,-321,91,60,3685,-8532,412,3698,-8546,25.498,-58.925,84.423
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-O-C-B,-143,48,27,1817,-3732,285,1832,-3746,12.632,-25.829,38.461
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-O-C-C,-34,41,35,1709,-514,76,1711,-516,11.797,-3.558,15.355
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-O-C-0,26,25,26,1089,1097,-19,1112,1074,7.667,7.405,0.262
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-O-C-E*,0,8,15,491,147,-95,515,123,3.551,0.848,2.703
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-0*C-F*,0,-38,-35,-1608,-483,-38,-481,-1610,-3.316,-11.101,7.785
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-O-C-G,44,-59,-59,-2649,517,-6,517,-2649,3.565,-18.265,21.83
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-O-C-H,0,-65,-59,-2715,-815,-76,-812,-2718,-5.599,-18.741,13.142
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-O-C-J,12,-61,-50,-2457,-381,-152,-370,-2468,-2.551,-17.017,14.466
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-O-C-K,8,-53,-47,-2192,-415,-82,-411,-2195,-2.834,-15.135,12.301
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-O-C-L,0,-37,-43,-1755,-526,76,-522,-1759,-3.599,-12.128,8.529
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,O-O-C-A,223,271,289,12070,10320,-234,12100,10290,83.43,70.95,12.48
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,3-0-C-B,70,191,192,8330,4609,-19,8330,4609,57.435,31.779,25.656
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,O-O-C-C,22,143,143,6284,2555,-45,6284,2555,43.328,17.617,25.711
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,O-O-C-D,-8,107,108,4750,1197,-13,4750,1197,32.751,8.253,24.498
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,O-O-C-E,-23,85,86,3764,445,-13,3764,445,25.953,3.068,22.885
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,3-0-C-F,5,40,42,1802,683,-32,1802,682,12.425,4.702,7.723
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,O-O-C-S,33,32,35,1437,1415,-44,1471,1380,10.143,9.515,0.628
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,O-O-C-H,39,33,36,1481,1628,-38,1637,1472,11.287,10.149,1.138
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,K*,22,34,0,728,874,456,1263,339,8.708,2.337,6.371
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,G-O-C-L,10,22,24,1012,617,-25,1014,616,6.992,4.247,2.745
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-O-N-A,-203,92,95,4317,-4792,-38,4317,-4792,29.766,-33.041,62.807
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-O-N-B,-23,111,108,4840,768,44,4840,767,33.372,5.288,28.084
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-O-N-C,73,96,88,3972,3387,101,3989,3370,27.504,23.236,4.268
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-O-N-D,108,65,62,2659,4048,38,4049,2658,27.918,18.327,9.591
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-O-N-E,100,38,38,1551,3459,-6,3459,1551,23.85,10.694,13.156
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-O-N-F,65,0,0,-71,1918,0,1918,-71,13.225,-0.49,13.715
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-O-N-G,48,5,2,93,1482,38,1483,92,10.225,0.634,9.591
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-O-N-H,48,11,10,418,1551,19,1551,417,10.694,2.875,7.819
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-O-N-J,55,12,16,566,1824,-51,1826,564,12.59,3.889,8.701
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,A,193,254,262,11140,9130,-108,11150,9124,76.879,62.91,13.969
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,D-O-N-8,39,167,162,7184,3338,76,7185,3337,49.541,23.009,26.532
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0-O-N-C,-33,91,92,4068,223,-13,4068,222,28.049,1.531,26.518
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,O-O-N-0,-45,40,40,1814,-796,6,1814,-796,12.508,-5.488,17.996
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,O-O-N-F,31,-7,-4,-275,859,-44,860,-276,5.93,-1.903,7.833
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0-O-N-G,56,3,2,43,1695,13,1695,43,11.687,0.296,11.391
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,3-0-N-H,52,0,-1,-78,1531,13,1531,-78,10.556,-0.538,11.094
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-90C-A,-11,162,-200,-834,-578,4818,4114,-5526,28.366,-38.102,66.468
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-90C-3,-21,180,-213,-708,-840,5230,4456,-6004,30.724,-41.398,72.122
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-90C-C,-19,198,-238,-857,-813,5799,4965,-6635,34.234,-45.748,79.982
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-90C-D,-22,193,-223,-634,-846,5553,4814,-6294,33.193,-43.397,76.59
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-90C-E,-17,178,-211,-712,-727,5179,4459,-5899,30.745,-40.674,71.419
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-90C-F,-13,116,-155,-842,-652,3609,2863,-4357,19.74,-30.042,49.782
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-90C-S,-17,44,-72,-597,-692,1539,894,-2184,6.164,-15.059,21.223
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-90C-H,-8,-11,-15,-577,-401,51,-388,-590,-2.675,-4.068,1.393
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-90C-J,-9,-35,14,-450,-406,-659,231,-1087,1.593,-7.495,9.088
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-90C-X,-8,-24,4,-430,-357,-367,-25,-763,-0.172,-5.261,5.089
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-90C-L,-9,-8,-12,-429,-385,51,-352,-4,-2.427,-0.028,2.399
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0-90C-A,-5,-4,-24,-600,-337,266,-172,-765,-1.186,-5.275,4.089
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,D-90C-8,-2,19,-43,-520,-213,836,483,-1216,3.33,-8.384,11.714
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0-90C-D,3,-12,-7,-431,-44,-70,-32,-444,-0.221,-3.061,2.84
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0-90C-E,3,-25,9,-358,-22,-456,296,-676,2.041,-4.661,6.702
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0-90C-F,9,-64,54,-229,138,-1564,1557,-1598,10.736,-11.018,21.754
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0-90C-G,-5,-71,79,193,-85,-2001,2060,-1951,14.204,-13.452,27.656
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0-90C-H,-8,-68,66,-44,-241,-1779,1639,-1924,11.301,-13.266,24.567
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0-90C-J,-4,-33,24,-194,-186,-766,576,-956,3.972,-6.592,10.564
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0-90C-K,-6,-10,-1,-234,-241,-120,-117,-358,-0.807,-2.468,1.661
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0-90C-L,-5,-8,-3,-245,-216,-63,-166,-296,-1.145,-2.041,0.896
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-90N-A,11,73,-94,-483,197,2222,2106,-2391,14.521,-16.486,31.007
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-90N-B,-5,10,-22,-256,-219,437,200,-675,1.379,-4.654,6.033
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-90N-C,-11,-21,14,-134,-382,-469,227,-743,1.565,-5.123,6.688
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-90N-D,-6,-29,27,-45,-199,-753,635,-880,4.378,-6.068,10.446
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-90N-E,-4,-28,29,15,-124,-753,702,-811,4.84,-5.592,10.432
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-90N-F,-3,-6,12,150,-55,-241,309,-214,2.131,-1.476,3.607
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-90N-G,0,2,-1,10,3,44,51,-38,0.352,-0.262,0.614
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-90N-W,0,0,2,52,16,-32,71,-3,0.49,-0.021,0.511
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I-90N-J,1,0,1,30,38,-19,53,15,0.365,0.103,0.262
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0-90N-A,12,-63,50,-296,282,-1513,1534,-1547,10.577,-10.667,21.244
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0-90N-B,22,-66,55,-264,577,-1602,1812,-1500,12.494,-10.342,22.836
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0-90N-C,20,-42,57,291,700,-1317,1828,-837,12.604,-5.771,18.375
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0-90N-D,12,-17,37,426,484,-709,1165,-255,8.033,-1.758,9.791
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0-90N-E,8,2,17,409,365,-203,591,183,4.075,1.262,2.813
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0-90N-F,6,23,-8,328,270,405,705,-108,4.861,-0.745,5.606
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0-90N-G,6,19,-2,359,279,285,607,31,4.185,0.214,3.971
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0-90N-J,6,12,1,286,257,152,424,119,2.923,0.821,2.102
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I120C-A,150,-26,-158,-4207,3243,1766,3640,-4604,25.098,-31.745,56.843
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,U20C-B,50,-28,-167,-4337,210,1849,867,-4994,5.978,-34.434,40.412
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I120C-D,-94,-21,-186,-4451,-4144,2203,-2089,-6506,-14.404,-44.859,30.455
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I120C-5,-122,-27,-182,-4451,-4985,2070,-2631,-6806,-18.141,-46.927,28.786
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I120C-F*,-77,-10,-143,-3258,-3273,1773,-1493,-5038,-10.294,-34.737,24.443
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I120C-G,-117,-16,-115,-2744,-4330,1323,-1994,-5080,-13.749,-35.027,21.278
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I120C-H,-59,1,-85,-1763,-2297,1146,-853,-3206,-5.881,-22.105,16.224
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I120C-J,-9,12,-45,-701,-467,760,185,-1353,1.276,-9.329,10.605
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I120C-K,7,9,-17,-185,144,336,353,-394,2.434,-2.717,5.151
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,U20C-L,4,-2,9,132,154,-146,289,-3,1.993,-0.021,2.014
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,C120C-A,-171,-304,-231,-11570,-8590,-975,-8299,-11860,-57.222,-81.775,24.553
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0120C-C,17,-142,-114,-5627,-1175,-374,-1144,-5658,-7.888,-39.012,31.124
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0120C-D,66,-92,-66,-3539,906,-355,934,-3568,6.44,-24.601,31.041
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,C120C-E,94,-52,-25,-1795,2284,-367,2317,-1828,15.976,-12.604,28.58
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0120C-F,122,16,30,879,3913,-196,3926,867,27.07,5.978,21.092
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0120C-G,90,66,67,2804,3550,-13,3550,2804,24.477,19.334,5.143
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0120C-H,57,74,66,3008,2613,114,3038,2583,20.947,17.81,3.137
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0120C-J,17,34,42,1642,1006,-108,1660,988,11.446,6.812,4.634
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0120C-K,6,-3,26,495,334,-380,802,26,5.53,0.179,5.351
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,C120C-L,-8,-26,-1,-587,-404,-336,-148,-843,-1.02,-5.812,4.792
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I120N-A,313,116,-226,-2767,8550,4559,10160,-4374,70.053,-30.159,100.212
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I120N-B,61,-31,-229,-5770,108,2634,1116,-6777,7.695,-46.727,54.422
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I120N-C,-88,-101,-176,-6002,-4452,1000,-3962,-6493,-27.318,-44.769,17.451
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I120N-D,-143,-104,-114,-4636,-5696,146,-4616,-5716,-31.827,-39.412,7.585
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I120N-E,-148,-84,-62,-3033,-5358,-291,-2997,-5394,-20.664,-37.192,16.528
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,U20N-F,-89,-26,-3,-529,-2825,-304,-499,-2864,-3.441,-19.747,16.306
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,I120N-S*,0,1,0,21,6,13,28,-1,0.193,-0.007,0.2
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,U20N-H,-53,6,8,350,-1477,-25,351,-1478,2.42,-10.191,12.611
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0120N-A,-384,-319,-326,-13760,-15660,101,-13760,-15670,-94.875,-108.045,13.17
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0120N-B,-106,-261,-177,-9502,-6030,-1121,-5700,-9833,-39.301,-67.799,28.498
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0120N-C,10,-147,-56,-4471,-1028,-1222,-638,-4861,-4.399,-33.517,29.118
Model1,ORNL-4553,254,2.54,127.0,1.27,0.5,100,M_inplane_nozzle,nozzle,moment,0120N-0,40,-68,23,-1026,904,-1216,1491,-1613,10.28,-11.122,21.402
